Day,ukip,bf
1/18/17,52,9
1/19/17,53,10
1/20/17,50,11
1/21/17,79,10
1/22/17,57,12
1/23/17,57,13
1/24/17,57,13
1/25/17,58,10
1/26/17,54,7
1/27/17,60,11
1/28/17,50,11
1/29/17,59,11
1/30/17,64,13
1/31/17,52,18
2/1/17,64,15
2/2/17,58,19
2/3/17,53,12
2/4/17,39,16
2/5/17,54,20
2/6/17,100,17
2/7/17,73,14
2/8/17,64,17
2/9/17,75,13
2/10/17,49,31
2/11/17,53,20
2/12/17,46,19
2/13/17,78,15
2/14/17,91,11
